"Code","County","State","PerBroadband","PerHasComputer","PerLess9","PerSomeHs","PerHsGrad","PerSomeColl","PerAssoc","PerBach","PerGradProf"
"021","Bland County","Virginia",71.9,81.332,3.7,4.8,39.9,23.7,10.6,12.9,4.5
"035","Carroll County","Virginia",65.2,75.749,8,11.2,36.3,20.7,10.7,9.8,3.3
"077","Grayson County","Virginia",64.4,74.259,6.9,11,39.6,20,10,9.4,3
"143","Pittsylvania County","Virginia",66.2,78.929,6.3,11.7,35.3,23.7,9.1,9.2,4.7
"155","Pulaski County","Virginia",66.7,80.737,5.2,8.5,32.7,21.6,12.5,12.5,7
"173","Smyth County","Virginia",68.2,77.424,6.8,10.1,37.9,21.5,9.4,8.8,5.6
"191","Washington County","Virginia",74.1,82.661,6.2,8.8,33.1,19.6,9.8,13.7,8.8
"063","Floyd County","Virginia",70.7,77.068,5.9,8.5,33.5,20.1,9.7,13.2,9
"141","Patrick County","Virginia",63.7,73.858,7.2,13.4,34.9,20.7,9.8,8.4,5.4
"067","Franklin County","Virginia",69.2,81.181,4.6,8.4,34.8,21.9,9.7,12.5,8.1
"121","Montgomery County","Virginia",85.8,91.993,2.3,5.2,22.2,17.6,6.9,22.1,23.7
"089","Henry County","Virginia",67.2,78.813,8.5,12.7,34.3,20.5,11.2,8.3,4.5
"690","Martinsville city","Virginia",72.1,82.931,5.5,11.7,31.2,20.7,9.5,14.1,7.2
"590","Danville city","Virginia",68,77.05,6.5,11.5,29.8,24.9,9,11.5,6.9
"640","Galax city","Virginia",66.8,77.024,12.8,15.8,33.3,19.4,6.4,7.4,4.9
"750","Radford city","Virginia",78,86.245,4,5.9,23.5,18.4,9,20.8,18.3
"197","Wythe County","Virginia",67.9,78.954,5.2,8.8,38.4,19.1,10,11.3,7.3
